English,Portuguese
Hello,Oi
Goodbye,Tchau
Good morning,Bom dia
Good afternoon,Boa tarde
Good evening,Boa noite
Whats up?,E aí?
How are you?,Como você esta?
I’m fine,Estou bem
Nice to meet you,Prazer te conhecer
What is your name?,Qual é seu nome?
My name is Josh,Meu nome é Josh
Excuse me,Com licença
I’m sorry,Disculpa
Thank you,Obrigado(a)
Don’t mention it,Imagina!
Cool,Legal!
See you later,Até mais
Peace out,Falou
Who?,Quem?
What?,Que?
Where?,Onde?
When?,Quando?
Why?,Por que?
How?,Como?
You,Você
Me,Eu
At what time?,A que horas?
Where is the bathroom?,Onde fica o banheiro?
Here,Aqui
There,Lá
This,Isso
That,Essa
I want that,Eu quero essa
Can you help me?,Você pode me ajudar?
How much does it cost?,Quanto custa?
Too expensive,Que caro!
Check please,A conta por favor
Do you speak English?,Você fala inglês?
I don’t speak Portuguese,Eu não falo português
Can you speak slower please?,Pode falar mais devagar por favor?
I don’t understand,Eu não entendo
Where are you from?,De onde você é?
I am from California,Eu sou da California
I want to go the beach,Eu quero ir pra praia
Lets go,Vamos!
I don’t know,Eu não sei
How do you say in Portuguese?,Como se diz em português?
What does that mean?,O que significa?
How do you spell it?,Como se escreve?
What did you say?,O que você falou?
I didn’t understand,Eu não entendi
Cheers,Saude
Good luck,Boa sorte
Excuse me (I didn’t understand),Oi?
How old are you?,Quantos anos você tem?
I am 23 years old,Eu tenho vinte e três anos
See you tomorrow,Até amanha
What’s happening?,O que está acontecendo?
I want to drink water,Eu quero tomar agua
I am hungry,Tenho fome
I am thirsty,Tenho sede
I like that,Eu gusto disso
I think so,Eu acho que sim
Today,Hoje
Tomorrow,Amanhã
What time is it?,Que horas são?
I don’t remember,Eu não lembro
I’m lost,Estou perdido
Where am I?,Onde estou?
Where are we going?,Vamos pra onde?
The man,O homem
The woman,A mulher
Eat,Comer
Drink,Beber
Lets take a taxi,Vamos de taxi
How do I get there?,Como que chego lá?
How delicious,Que delicia
What do you like to do?,O que você gosta de fazer?
Friend,Amigo
Beach,Praia
May I have?,Posso ter?
Of course,Claro (que sim)
Of course not,Claro que não
Me too/Me neither,Eu também
I’m kidding,Estou brincando
I’m tired,Estou cansado
No problem,Sem problemas
Just a little,Só um pouco
A lot,muito
Really?,Serio?
Whats this?,O que é isso?
Shut up,Cale a boca
Help!!!!,Socorro!
Stop,para!
Look,Olha
Wait,Espera
What a shame,Que pena
Come here,Vem cá
Damnit,Droga
So…,então…
